id,competitor,country,title,description,bonus_amount,bonus_type,conditions,wagering,valid_until,url,scraped_at,hash_id,created_at
520,1x bet,SA,Deposit Bonus,"Register and receive a bonus on the 1st deposit. Star League: bet on Champions League stars and win 70,000 USD!",,Deposit Bonus,First deposit bonus offer,,,https://www.1xbet.com,2025-10-14T16:16:40.884850,-4131291370964785030,2025-10-14 14:33:48
524,1x bet,SA,Found 'free spins' on page,Free spins register crownbet get free bets for every task you complete! Get your free bet asian league elite place bets on asian football stars,Free Spins / Free Bets,Free Spins,Get free bets for every task you complete; Place bets on asian football stars,,,https://1xbet.com,2025-10-14T16:16:26.983149,-8899485403060589370,2025-10-14 14:33:48
522,1x bet,SA,welcome package,"welcome package up to €1,500 + 150 free spins register crownbet get free bets for every task you complete! get your free bet asian league elite place","up to €1,500 + 150 free spins",Welcome Bonus,register and get free bets for every task you complete,,,https://www.1xbet.com,2025-10-14T16:16:40.884850,-3822466158154902102,2025-10-14 14:33:48
519,EmirBet,SA,Deposit Bonus,"€10 free bet on first bets, weekly cashback refund up to 10% on losses, payment methods",€10 Free Bet,Deposit Bonus,"Free bet on first cash bets, weekly cashback up to 10% on losses",,,https://emirbet.net,2025-10-14T16:21:59.491359,1284039590663785565,2025-10-14 14:33:48
508,JustCasino,SA,Deposit Bonus,"Deposit bonus 100% up to $1,111 + 100 free spins no bonus code required because space is full of surprises. Sign up second deposit bonus 100% up to $1,1","100% up to $1,111 + 100 free spins",Deposit Bonus,No bonus code required. Appears to be part of a welcome package with first and second deposit bonuses.,,,https://www.justcasino.com,2025-10-14T16:22:30.276207,-1381872483111406710,2025-10-14 14:33:48
472,JustCasino,SA,Deposit Bonus,"Deposit bonus 100% up to $1,111 + 100 free spins no bonus code required because space is full of surprises. Sign up second deposit bonus 100% up to $1,1","100% up to $1,111 + 100 free spins",Deposit Bonus,"No bonus code required. Appears to be a first deposit bonus with mention of a second deposit bonus (100% up to $1,1)",,,https://www.justcasino.com,2025-10-14T16:23:38.892317,2744816767334425171,2025-10-14 14:33:48
452,JustCasino,SA,Found 'bonus' on page,"bonus 100% up to $1,111 +100 free spins no bonus code required because space is full of surprises sign up second deposit bonus 100% up to $1,111 +50 free spins","100% up to $1,111 + 100 Free Spins",Welcome Bonus,No bonus code required. Appears to be a welcome offer with first deposit bonus and second deposit bonus mentioned.,,,https://www.justcasino.com/welcome-bonus,2025-10-14T16:24:27.804267,1308365410545552662,2025-10-14 14:33:48
506,JustCasino,SA,Found 'bonus' on page,"bonus 100% up to $1,111 +100 free spins no bonus code required because space is full of surprises sign up second deposit bonus 100% up to $1,111 +50 free spins","100% up to $1,111 + 100 Free Spins",Welcome Bonus,"No bonus code required. Appears to be a welcome offer covering first and second deposit (second deposit: 100% up to $1,111 +50 free spins).",,,https://justcasino.com,2025-10-14T16:22:40.881703,-2476676875389830459,2025-10-14 14:33:48
476,JustCasino,SA,Found 'bonus' on page,"bonus 100% up to $1,111 +100 free spins no bonus code required because space is full of surprises sign up second deposit bonus 100% up to $1,111 +50 free spins","100% up to $1,111 + 100 Free Spins",Deposit Bonus,No bonus code required. Appears to be a second deposit bonus.,,,https://www.justcasino.com,2025-10-14T16:23:38.892317,1623907339453643876,2025-10-14 14:33:48
491,JustCasino,SA,Found 'free spins' on page,"Free spins nothing but casino join now! Huge selection over 12,000 games, 24hr support live chat in English, no waiting fast withdrawals.",Not specified,Free Spins,No specific conditions mentioned beyond the free spins offer,,,https://justcasino.com/offers,2025-10-14T16:23:01.465568,3257169197113096640,2025-10-14 14:33:48
504,JustCasino,SA,Found 'jackpot' on page,"jackpots ar-en en-au ca-en nz ar-en ar de at-de ch-de ch-fr no fi $7,777 + 300 free spins nothing but casino join now! huge selection over 12 000 game","$7,777 + 300 free spins",Jackpot,Available for multiple regions/languages,,,https://justcasino.com,2025-10-14T16:22:40.881703,8608989810767890610,2025-10-14 14:33:48
505,JustCasino,SA,"welcome offer $7,777 + 300 free spins","welcome offer $7,777 + 300 free spins join now! first deposit bonus 100% up to $1,111 +100 free spins no bonus code required because space is full of","$7,777 + 300 Free Spins and 100% up to $1,111 + 100 Free Spins",Welcome Bonus,No bonus code required. Appears to be a combined welcome offer.,,,https://justcasino.com,2025-10-14T16:22:40.881703,-7061531879894322499,2025-10-14 14:33:48
511,JustCasino,SA,Found 'welcome' on page,"welcome offer $7,777 + 300 free spins join now! first deposit bonus 100% up to $1,111 +100 free spins no bonus code required because space is full of","$7,777 + 300 Free Spins and 100% up to $1,111 + 100 Free Spins",Welcome Bonus,No bonus code required. Appears to be a combined welcome offer with a first deposit bonus.,,,https://www.justcasino.com,2025-10-14T16:22:30.276207,-9150958952556019024,2025-10-14 14:33:48
459,JustCasino,SA,Tournament Promotion,"Join the tournament with payments deal promo featuring just jackpots. Available for multiple regions including ar-en, en-au, ca-en, nz, ar-en, ar, de, at-de, ch-de, ch-fr, no, fi","$7,777 + 300 free spins",Tournament,Available at Nothing But Casino for specified regions,,,https://www.justcasino.com/offers,2025-10-14T16:24:03.151554,-5210283144105616853,2025-10-14 14:33:48
