id,competitor,country,title,description,bonus_amount,bonus_type,conditions,wagering,valid_until,url,scraped_at,hash_id,created_at
281,Jackpot City,NZ,Found 'bonus' on page,bonus up to 1600 nzd login registration why choose jackpot city nz: best casino for new zealand players discover jackpot city nz: leading online casino,Up to 1600 NZD,Welcome Bonus,Login and registration required. Targeted at New Zealand players.,,,https://www.jackpotcity.nz/welcome-bonus,2025-10-10T12:23:43.580224,2808896608347072025,2025-10-10 10:37:24
276,Jackpot City,NZ,Found 'deposit' on page,"Deposits. Additionally, you'll receive 150 free spins on selected slot games, providing an excellent opportunity to explore the casino's extensive gam",150 free spins,Free Spins,Free spins are on selected slot games. Appears to be linked to making a deposit.,,,https://www.jackpotcity.nz/welcome-bonus,2025-10-10T12:23:43.581224,-7517748136031641392,2025-10-10 10:37:24
277,Jackpot City,NZ,Found 'free spins' on page,"Free spins, making it one of the best offers in the market. Game variety with over 300 games, including popular titles like Mega Moolah and Immortal Romance",,Free Spins,Game selection includes Mega Moolah and Immortal Romance,,,https://www.jackpotcity.nz/welcome-bonus,2025-10-10T12:23:43.581224,-8325683740665022519,2025-10-10 10:37:24
278,Jackpot City,NZ,Found 'jackpot' on page,jackpot city nz - welcome bonus up to 1600 nzd login registration why choose jackpot city nz: best casino for new zealand players discover jackpot cit,Up to 1600 NZD,Welcome Bonus,Welcome bonus for new players from New Zealand,,,https://www.jackpotcity.nz/welcome-bonus,2025-10-10T12:23:43.581224,2816859267187201603,2025-10-10 10:37:24
275,Wildz,NZ,Found 'bonus' on page,bonus up to €500 + 200 free spins claim your bonus full details . claim 100% bonus + 5 free bets to wildz sports! spinback: win a free spin to book of,up to €500 + 200 Free Spins,Welcome Bonus,"Includes 100% bonus, 5 free bets for Wildz Sports, and a Spinback feature",,,https://wildz.com,2025-10-10T12:24:04.237715,-7045793154310525199,2025-10-10 10:37:24
274,Wildz,NZ,Found 'free spins' on page,free spins 13:24 my bets casino sports 100% bonus up to €500 + 200 free spins claim your bonus full details . claim 100% bonus + 5 free bets to wildz,up to €500 + 200 free spins,Welcome Bonus,Details not fully specified in the provided text.,,,https://wildz.com,2025-10-10T12:24:04.238712,6267012392167854386,2025-10-10 10:37:24
260,betvictor,NZ,Found 'free spins' on page,Free spins and expanding symbols. Gonzo’s Quest NetEnt 95.97% Quest for Treasure with avalanche reels and increasing multipliers. Sweet Bonanza Pragmatic,Free Spins,Free Spins,"Free spins and expanding symbols on specified games (Gonzo's Quest, Sweet Bonanza).",,,https://betvictor.nz,2025-10-10T12:28:32.918717,-4021401296588653222,2025-10-10 10:37:24
261,betvictor,NZ,Found 'jackpot' on page,Jackpot slot with respin and money respin features. Top advantages of Bet Victor for New Zealand players choosing Bet Victor offers a wealth of unique,,Jackpot,Features respin and money respin. Targeted to New Zealand players.,,,https://betvictor.nz,2025-10-10T12:28:32.918717,7222224742588550508,2025-10-10 10:37:24
259,betvictor,NZ,Found bonus on page,Bonus up to NZ$1500 + 200 Free Spins. Your gateway to thousands of popular slots.,Up to NZ$1500 + 200 FS,Welcome Bonus,Get the bonus navigation,,,https://www.betvictor.nz,2025-10-10T12:28:39.098224,-1763495222574426726,2025-10-10 10:37:24
254,highroller,NZ,Found 'bonus' on page,"bonus up to $500 + 200 free spins! $10.8m in non-stop drops & races – ready to win big? level up at highroller – play more, earn more! $3.6m in monthl",up to $500 + 200 free spins,Deposit Bonus,"Mentions non-stop drops, races, and a high roller program",,,https://highroller.nz,2025-10-10T12:29:38.639721,674135089622378928,2025-10-10 10:37:24
245,highroller,NZ,Found 'bonus' on page,"bonus up to $500 + 200 free spins! $10.8m in non-stop drops & races – ready to win big? level up at highroller – play more, earn more! $3.6m in monthl",Up to $500 + 200 Free Spins,Other,Part of non-stop drops & races; Highroller program mentioned,,,https://highroller.nz,2025-10-10T12:29:52.454910,-944380287102153588,2025-10-10 10:37:24
242,highroller,NZ,Found 'free spins' on page,"free spins! $10.8m in non-stop drops & races – ready to win big? level up at highroller – play more, earn more! $3.6m in monthly cash prizes – join dr",$10.8 Million,Free Spins,"Promotion includes free spins, non-stop drops & races, and monthly cash prizes. Specific details are not fully clear from the provided text.",,,https://highroller.nz,2025-10-10T12:29:52.454910,2162263921870132021,2025-10-10 10:37:24
247,highroller,NZ,Found 'jackpot' on page,jackpot splash! sunday swagger – your happy hour bonus! every week – pick & play! deposit & get free spins – your choice!,,Jackpot,Deposit required to get free spins,,Every Sunday,https://www.highroller.nz,2025-10-10T12:29:45.503247,8334119200812196520,2025-10-10 10:37:24
228,highroller,NZ,Found 'welcome' on page,"welcome bonus works at highroller, we offer a parachute bonus, also known as… read more let’s roll – 100% bonus up to $500 + 200 free spins! continue",100% up to $500 + 200 Free Spins,Welcome Bonus,Parachute bonus mentioned,,,https://www.highroller.nz/promotions,2025-10-10T12:30:09.469769,-7333250147618452835,2025-10-10 10:37:24
240,highroller,NZ,Let's Roll – 100% Bonus up to $500 + 200 Free Spins!,100% deposit bonus up to $500 plus 200 free spins for $10.,Up to $500 + 200 Free Spins,Deposit Bonus,$10 deposit required,,,https://highroller.nz/promotions,2025-10-10T12:29:59.064849,-8208010737309173565,2025-10-10 10:37:24
